dataset_id	dataset	cluster_id	cell_type
13	Liver hep- CD45-	10	Endothelial cells
13	Liver hep- CD45-	11	Hepatocytes
13	Liver hep- CD45-	12	B cells
13	Liver hep- CD45-	13	Endothelial cells
13	Liver hep- CD45-	14	B cells
13	Liver hep- CD45-	15	Stellate cells
14	Liver hep- CD45+	0	NK cells
14	Liver hep- CD45+	1	T cells
14	Liver hep- CD45+	2	T cells
14	Liver hep- CD45+	3	Monocytes
14	Liver hep- CD45+	4	T cells
14	Liver hep- CD45+	5	NK cells
14	Liver hep- CD45+	6	Monocytes
14	Liver hep- CD45+	7	T cells
14	Liver hep- CD45+	8	Monocytes
14	Liver hep- CD45+	9	B cells
14	Liver hep- CD45+	10	T cells
14	Liver hep- CD45+	11	Endothelial cells
14	Liver hep- CD45+	12	T cells
14	Liver hep- CD45+	13	Dendritic cells
14	Liver hep- CD45+	14	B cells
15	Lung	0	Monocytes
15	Lung	1	Epithelial cells
15	Lung	2	Monocytes
15	Lung	3	T cells
15	Lung	4	Granulocytes
15	Lung	5	Fibroblastss
15	Lung	6	Granulocytes
15	Lung	7	Epithelial cells
15	Lung	8	Epithelial cells
15	Lung	9	Fibroblastss
15	Lung	10	Epithelial cells
16	Muscle	0	Endothelial cells
16	Muscle	1	Myofibroblasts
16	Muscle	2	Fibroblastss
16	Muscle	3	T cells
16	Muscle	4	Smooth muscle cells
16	Muscle	5	Endothelial cells
16	Muscle	6	Fibroblastss
16	Muscle	7	Smooth muscle cells
17	NK cells blood	0	NK cells
17	NK cells blood	1	NK cells
17	NK cells blood	2	NK cells
17	NK cells blood	3	NK cells
17	NK cells blood	4	NK cells
17	NK cells blood	5	NK cells
18	NK cells bone marrow	0	NK cells
18	NK cells bone marrow	1	NK cells
18	NK cells bone marrow	2	NK cells
18	NK cells bone marrow	3	NK cells
18	NK cells bone marrow	4	NK cells
18	NK cells bone marrow	5	NK cells
18	NK cells bone marrow	6	NK cells
18	NK cells bone marrow	7	NK cells
18	NK cells bone marrow	8	Dendritic cells
19	PBMCs	0	Monocytes
19	PBMCs	1	T cells
19	PBMCs	2	T cells
19	PBMCs	3	T cells
19	PBMCs	4	T cells
19	PBMCs	5	T cells
19	PBMCs	6	T cells
19	PBMCs	7	Monocytes
19	PBMCs	8	B cells
19	PBMCs	9	Monocytes
19	PBMCs	10	Dendritic cells
19	PBMCs	11	NA
20	Placenta	0	Villous cytotrophoblast
20	Placenta	1	Fibroblastss
20	Placenta	2	Villous cytotrophoblast
20	Placenta	3	Extravillous trophoblasts
20	Placenta	4	Villous cytotrophoblast
20	Placenta	5	Hofbauer cells
20	Placenta	6	Extravillous trophoblasts
20	Placenta	7	Macrophages
20	Placenta	8	Villous cytotrophoblast
20	Placenta	9	Extravillous trophoblasts
20	Placenta	10	Syncytiotrophoblast
20	Placenta	11	Epithelial cells
20	Placenta	12	Villous cytotrophoblast
20	Placenta	13	Villous cytotrophoblast
20	Placenta	14	Villous cytotrophoblast
20	Placenta	15	Villous cytotrophoblast
20	Placenta	16	Villous cytotrophoblast
20	Placenta	17	Fibroblastss
20	Placenta	18	Monocytes
20	Placenta	19	Endothelial cells
20	Placenta	20	Epithelial cells
21	Placenta blood	0	T cells
21	Placenta blood	1	T cells
21	Placenta blood	2	T cells
21	Placenta blood	3	T cells
21	Placenta blood	4	T cells
21	Placenta blood	5	Monocytes
21	Placenta blood	6	T cells
21	Placenta blood	7	Monocytes
21	Placenta blood	8	T cells
21	Placenta blood	9	T cells
21	Placenta blood	10	Dendritic cells
21	Placenta blood	11	Monocytes
22	Prostate	0	Basal epithelia
22	Prostate	1	Epithelial cells
22	Prostate	2	Epithelial cells
22	Prostate	3	Fibroblastss
22	Prostate	4	Basal epithelia
22	Prostate	5	Endothelial cells
22	Prostate	6	Smooth muscle cells
22	Prostate	7	Epithelial cells
22	Prostate	8	Epithelial cells
22	Prostate	9	Smooth muscle cells
22	Prostate	10	Smooth muscle cells
22	Prostate	11	Fibroblastss
22	Prostate	12	Epithelial cells
22	Prostate	13	Endothelial cells
22	Prostate	14	Endothelial cells
22	Prostate	15	Epithelial cells
23	Prostate 2	0	Epithelial cells
23	Prostate 2	1	Fibroblastss
23	Prostate 2	2	Epithelial cells
23	Prostate 2	3	Fibroblastss
23	Prostate 2	4	Epithelial cells
23	Prostate 2	5	Fibroblastss
23	Prostate 2	6	Epithelial cells
23	Prostate 2	7	Epithelial cells
23	Prostate 2	8	Epithelial cells
23	Prostate 2	9	Smooth muscle cells
23	Prostate 2	10	Epithelial cells
23	Prostate 2	11	Endothelial cells
23	Prostate 2	12	T cells
24	Prostate 3	0	Basal
24	Prostate 3	1	Basal
24	Prostate 3	2	Fibroblastss
24	Prostate 3	3	Epithelial cells
24	Prostate 3	4	Smooth muscle cells
24	Prostate 3	5	Fibroblastss
24	Prostate 3	6	Fibroblastss
24	Prostate 3	7	Epithelial cells
24	Prostate 3	8	Epithelial cells
24	Prostate 3	9	Endothelial cells
24	Prostate 3	10	Epithelial cells
24	Prostate 3	11	Smooth muscle cells
